,Search Parameters,Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
37,,-70.0,6.0,1.0,,,,,,CHINA:  SHANDONG PROVINCE,36.3,119.0,,7.0,9.0,6000.0,4.0,,,,,,,,,,,6000.0,4.0,,,,,,,,,,
38,,-63.0,10.0,,,,,,,RUSSIA:  PANTIKAPEY,45.2,36.6,20.0,6.4,8.0,,,,,,,,3.0,,,,,,,,,,,,3.0,,,,
39,,-60.0,,,,,,4263.0,,PORTUGAL:  CABO SAN VICENTE,36.0,-10.7,,8.5,10.0,,,,,,,,,,,,,,,,,,,,3.0,,,,
40,,-58.0,,,,,,3714.0,,ALBANIA:  DYRRACHIUM,41.3,19.5,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,
41,,-50.0,,,,,,3794.0,,"BULGARIA:  BISONE [KAVARNA], DIONISOPOLIS [BALCHIK]",43.5,28.5,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,
42,,-50.0,,,,,,3728.0,,GEORGIA:  DYOSCURIA [SUKHUMI],43.0,41.0,,5.5,8.0,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,
43,,-47.0,4.0,17.0,,,,,,CHINA:  GANSU PROVINCE:  LONGXI,34.9,104.7,,,9.0,,3.0,,,,,,2.0,,3.0,,,,3.0,,,,,,2.0,,3.0,,
44,,-33.0,,,,,,,,ISRAEL:  PALESTINE,31.2,34.2,,,9.0,30000.0,4.0,,,,,,,,,,,30000.0,4.0,,,,,,,,,,
45,,-31.0,9.0,2.0,,,0.0,,,"ISRAEL:  QUMRAN,ARIHA (JERICHO)",32.0,35.5,,7.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,
46,,-27.0,,,,,,,,EGYPT:  THEBES,25.7,32.7,,,,,,,,,,,3.0,,,,,,,,,,,,3.0,,,,
47,,-26.0,,,,,,,,CHINA:  SICHUAN:  YIBIN,28.8,104.6,,5.5,7.0,13.0,1.0,,,,,,2.0,,,,,13.0,1.0,,,,,,2.0,,,,
48,,-26.0,,,,,,19.0,,CYPRUS,35.0,33.0,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,
49,,-15.0,,,,,0.0,,,CYPRUS:  SALAMIS,35.2,34.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,
50,,10.0,,,,,0.0,,,TURKMENISTAN:  NISA,38.0,58.3,18.0,7.1,10.0,,,,,,,,3.0,,,,,,,,,,,,,,,,
51,,11.0,,,,,0.0,,,TURKEY,37.8,27.4,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
52,,17.0,,,,,,,,"TURKEY:  IZMIR, EFES, AYDIN, MANISA, ALASEHIR, SART",37.85,27.3,,,10.0,,,,,,,,3.0,,,,,,,,,,,,3.0,,,,
53,,23.0,,,,,0.0,,,GREECE,38.2,22.2,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
54,,25.0,,,,,0.0,,,PAKISTAN,33.0,72.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
55,,27.0,,,,,0.0,,,SOUTH KOREA:  KWANGJU,35.9,126.5,,6.3,8.0,,,,,,,,3.0,,,,,,,,,,,,,,,,
56,,29.0,,,,,0.0,,,"TURKEY:  IZNIK,IZMIT",40.5,28.9,,,9.0,,,,,,,,3.0,,3.0,,,,,,,,,,3.0,,3.0,,
57,,33.0,,,,,,,,ISRAEL:  PALESTINE,31.8,35.2,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,
58,,37.0,4.0,9.0,,,,,,TURKEY:  ANTAKYA (ANTIOCH),36.1,36.1,,,,,3.0,,,,,,4.0,,,,,,3.0,,,,,,4.0,,,,
59,,46.0,10.0,23.0,,,,,,CHINA:  HENAN PROVINCE:  NANYANG,33.0,112.5,,6.5,8.0,,2.0,,,,,,2.0,,2.0,,,,2.0,,,,,,2.0,,2.0,,
60,,50.0,,,,,,,,AFGHANISTAN:  AIKHANUM,37.0,68.5,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,
61,,52.0,,,,,0.0,,,"GREECE:  PHILIPPI,DRAMA,KAVALA",41.0,24.3,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
62,,52.0,,,,,0.0,,,TURKEY:  ANTAKYA (ANTIOCH),36.1,36.1,,,9.0,,,,,,,,3.0,,,,,,,,,,,,,,,,
63,,55.0,,,,,0.0,,,GREECE:  CRETE,35.0,25.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
64,,57.0,,,,,0.0,,,ALBANIA:  DURRES,41.2,19.3,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
65,,60.0,,,,,,,,"TURKEY:  LAODICEA, HIERAPOLIS, COLOSSAE, [PAMUKKALE]",37.9,29.2,,,9.0,,,,,,,,3.0,,,,,,,,,,,,3.0,,,,
66,,62.0,,,,,,23.0,,GREECE:  CRETE,35.2,25.1,,6.9,9.0,,,,,,,,,,,,,,,,,,,,,,,,
67,,63.0,,,,,,,,ITALY:  POMPEI,40.7,14.5,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
68,,68.0,,,,,,5780.0,,TURKEY:  DEMRE,36.217,30.017,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,76.0,,,,,,26.0,,"CYPRUS:  PAPHOS, SALAMIS",34.8,32.0,,,10.0,,,,,,,,3.0,,3.0,,,,,,,,,,3.0,,3.0,,
70,,79.0,8.0,24.0,,,,3093.0,1348.0,ITALY:  NAPLES (NAPOLI),40.821,14.425999999999998,,,10.0,,,,,,,,,,,,,2100.0,4.0,,,,,,,,,,
71,,89.0,,,,,0.0,,,SOUTH KOREA:  KWANGJU,35.9,126.5,,6.3,8.0,,3.0,,,,,,2.0,,,,,,,,,,,,,,,,
72,,93.0,,,,,0.0,,,TURKEY:  HELLESPONT,40.6,26.7,,,,,3.0,,,,,,3.0,,,,,,,,,,,,,,,,
73,,100.0,,,,,,,,SOUTH KOREA:  KYONGJU,35.8,129.2,,6.3,8.0,,3.0,,,,,,2.0,,3.0,,,,3.0,,,,,,2.0,,3.0,,
74,,105.0,,,,,,,,TURKEY,39.5,27.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
75,,109.0,,,,,,,,TURKEY:  GALATIA,40.0,34.0,,,,,,,,,,,3.0,,3.0,,,,,,,,,,3.0,,3.0,,
76,,115.0,12.0,13.0,,,,4396.0,,TURKEY:  ANTAKYA (ANTIOCH),36.1,36.1,,7.5,11.0,260000.0,4.0,,,,,,4.0,,,,,260000.0,4.0,,,,,,4.0,,,,
77,,120.0,,,,,,3096.0,,"TURKEY: NICOMEDIA, NICAEA",40.77,29.92,,7.2,9.0,,3.0,,,,,,2.0,,3.0,,,,3.0,,,,,,2.0,,3.0,,
78,,123.0,,,,,,3583.0,,SOUTH KOREA:  KYONGJU,35.8,129.2,,6.3,8.0,,,,,,,,1.0,,2.0,,,,,,,,,,1.0,,2.0,,
79,,128.0,2.0,23.0,,,,,,CHINA:  GANSU PROVINCE:  GANGU,34.7,105.4,,6.5,8.0,,2.0,,,,,,2.0,,2.0,,,,2.0,,,,,,2.0,,2.0,,
80,,138.0,3.0,1.0,,,,,,CHINA:  GANSU PROVINCE,35.8,103.5,,6.8,9.0,,3.0,,,,,,3.0,,3.0,,,,3.0,,,,,,3.0,,3.0,,
81,,142.0,,,,,,27.0,,GREECE:  RHODES,36.7,28.0,,7.0,8.0,,,,,,,,2.0,,2.0,,,,,,,,,,3.0,,3.0,,
82,,143.0,10.0,,,,,,,CHINA:  GANSU PROVINCE,34.7,105.3,,7.0,9.0,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,
83,,155.0,,,,,0.0,,,GREECE:  DODECANESE ISLANDS,36.5,28.5,100.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
84,,170.0,,,,,0.0,,,"GREECE-TURKEY:  VITINIA,HELLESPONT",39.0,24.5,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
85,,173.0,6.0,28.0,,,,29.0,,CHINA:  YELLOW SEA,37.5,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,177.0,,,,,,,,"TURKEY: IZMIR, AEGEAN ISLANDS",38.6,26.65,,,7.0,,3.0,,,,,,2.0,,,,,,3.0,,,,,,2.0,,,,
87,,177.0,,,,,,3097.0,,ITALY:  SICILY,38.0,15.0,,,9.0,,,,,,,,3.0,,,,,,,,,,,,3.0,,,,
88,,180.0,9.0,,,,,,,CHINA:  GANSU PROVINCE,39.4,99.5,,7.5,10.0,,,,,,,,,,,,,,,,,,,,,,,,
89,,243.0,,,,,0.0,,,"ITALY:  VERONA,BENACO",45.3,11.0,,5.3,,,,,,,,,4.0,,,,,,,,,,,,,,,,
90,,251.0,7.0,9.0,,,0.0,,,GREECE:  CRETE,35.5,25.5,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
91,,253.0,7.0,9.0,,,0.0,,,TURKEY,39.1,27.2,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
92,,258.0,,,,,,3427.0,,ITALY:  ROME,41.9,12.45,,,8.0,,,,,,,,3.0,1001.0,4.0,,,,,,,,,,3.0,1001.0,4.0,,
93,,262.0,,,,,,31.0,,TURKEY:  S COASTS; LIBYA,36.6,30.0,,,,,3.0,,,,,,2.0,,3.0,,,,3.0,,,,,,2.0,,3.0,,
94,,294.0,7.0,,,,,,,CHINA:  ANHUI PROVINCE:  SHOUXIAN,32.6,116.8,,5.5,7.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,
