,Search Parameters,Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
1622,,1830.0,1.0,,,,0.0,,,MEXICO:  OAXACA,17.0,-96.3,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
1623,,1830.0,3.0,9.0,7.0,,0.0,,,RUSSIA,43.5,47.5,,,9.0,410.0,3.0,,,,,,2.0,,,,,,,,,,,,,,,,
1624,,1830.0,3.0,9.0,11.0,22.0,0.0,,,RUSSIA:  DAGESTAN,43.0,47.0,16.0,6.3,9.0,40.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,
1625,,1830.0,4.0,3.0,,,0.0,,,"IRAN:  CHAHARDANGEH,SEMNAN,DAMGHAN",36.4,54.3,,6.5,,,,,,,,,3.0,,,,,,,,,,,,,,,,
1626,,1830.0,5.0,9.0,,,0.0,,,"IRAN:  DAMAVAND,TEHRAN,SEMNAN,DAMGHAN",35.7,52.1,,,,500.0,3.0,,,,,,3.0,,,,,,,,,,,,,,,,
1627,,1830.0,6.0,12.0,,,,,,CHINA:  HEBEI PROVINCE,36.4,114.2,,7.5,10.0,7477.0,4.0,,,,4.0,,4.0,200000.0,4.0,,,7477.0,4.0,,,,4.0,,4.0,200000.0,4.0,,
1628,,1830.0,8.0,19.0,,,0.0,,,JAPAN:  KYOTO,35.0,136.0,,,,280.0,3.0,,,,,,,,,,,,,,,,,,,,,,
1629,,1830.0,9.0,16.0,,,,676.0,,PHILIPPINES:  MANILA,14.55,120.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630,,1831.0,4.0,3.0,,,0.0,,,GREECE:  SAMOS (DODECANESE),37.8,27.0,,,7.0,,2.0,,,,,,,,,,,,,,,,,,,,,,
1631,,1831.0,5.0,26.0,10.0,25.0,0.0,,,ITALY:  COAST OF LIGURIA,43.8,7.8,,,9.0,4.0,1.0,,,,,,3.0,,,,,,,,,,,,,,,,
1632,,1831.0,8.0,11.0,,,,,,"BARBADOS, SAINT VINCENT, DOMINICA, ANTIGUA",13.1,-59.617,,,,3000.0,4.0,,,,,,3.0,,,,,3000.0,4.0,,,,,,3.0,,,,
1633,,1831.0,9.0,11.0,,,0.0,,,ITALY:  REGGIO DI CALABRIA,38.1,15.7,,,9.0,,,,,,,3.0,2.0,,,,,,,,,,,,,,,,
1634,,1831.0,9.0,28.0,,,,,,CHINA:  ANHUI PROVINCE,32.8,116.8,,6.3,8.0,33.0,1.0,,,,,,1.0,,1.0,,,33.0,1.0,,,,,,1.0,,1.0,,
1635,,1831.0,10.0,9.0,2.0,15.0,,,,"CHILE: PERU:  TACNA,ARICA,AREQUIPA",-18.5,-71.0,,7.8,7.0,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,
1636,,1831.0,12.0,3.0,23.0,40.0,0.0,677.0,,TRINIDAD & ST. CHRISTOPHER,12.4,-61.5,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
1637,,1831.0,,,,,,5552.0,,NEW ZEALAND:  NORTH ISLAND:  POVERTY BAY,-38.7,178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638,,1832.0,1.0,13.0,13.0,,,,,ITALY:  FOLIGNO,42.9,12.6,,,10.0,22.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,
1639,,1832.0,1.0,22.0,,,0.0,,,AFGHANISTAN,36.5,71.0,,,,,3.0,,,,,,3.0,,,,,,,,,,,,,,,,
1640,,1832.0,3.0,8.0,18.0,15.0,0.0,,,ITALY:  CUTRO,39.0,17.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
1641,,1833.0,1.0,19.0,,,,678.0,,"ALBANIA:  VLORE, SAZAN, KANINA, NARTA",40.4,19.9,,6.4,10.0,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,
1642,,1833.0,3.0,10.0,,,,680.0,,S. MEXICO,16.8,-99.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1643,,1833.0,4.0,25.0,14.0,30.0,0.0,,,CHILE,-28.5,-71.3,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
1644,,1833.0,5.0,30.0,,,,,,INDIA:  LOHUGHAR,29.4,80.1,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,
1645,,1833.0,8.0,26.0,,,,,,NEPAL: KATHMANDU; INDIA: BIHAR; CHINA: TIBET,28.3,85.5,,7.7,9.0,500.0,3.0,,,,3.0,,3.0,,4.0,,4.0,500.0,3.0,,,,3.0,,3.0,,4.0,,4.0
1646,,1833.0,9.0,6.0,,,,3578.0,,CHINA:  YUNNAN PROVINCE,25.2,103.0,,8.0,11.0,6700.0,4.0,,,,,,4.0,87620.0,4.0,,,6700.0,4.0,,,,,,4.0,87620.0,4.0,,
1647,,1833.0,9.0,18.0,10.0,45.0,,5657.0,,PERU-CHILE:  PERU:  TACNA; CHILE:  ARICA,-18.250999999999998,-71.01,,7.7,8.0,700.0,3.0,,,25.0,1.0,,3.0,1001.0,4.0,,,700.0,3.0,,,25.0,1.0,,3.0,1001.0,4.0,,
1648,,1833.0,11.0,24.0,,,,681.0,,INDONESIA:  SUMATRA:  BENGKULU,-2.5,100.5,75.0,8.3,9.0,,,,,,,,2.0,,1.0,,1.0,,1.0,,,,,,2.0,,1.0,,1.0
1649,,1833.0,12.0,7.0,,,,682.0,,JAPAN:  HONSHU:  NW,38.9,139.15,,7.4,,35.0,1.0,,,,,,3.0,540.0,3.0,1790.0,4.0,85.0,2.0,,,,,,3.0,1140.0,4.0,1790.0,4.0
1650,,1834.0,1.0,20.0,12.0,,,,,"COLOMBIA:  PUTUMAYO,PASTO, POPAYAN, SANTA MARTA",1.1,-76.93,15.0,6.7,9.0,,3.0,,,,2.0,,3.0,,3.0,,3.0,,3.0,,,,2.0,,3.0,,3.0,,3.0
1651,,1834.0,2.0,9.0,1.0,,,684.0,,"W. HOKKAIDO ISLAND, JAPAN",43.3,141.4,,6.4,,,,,,,,,1.0,23.0,1.0,,,,,,,,,,1.0,73.0,2.0,,
1652,,1834.0,2.0,14.0,,,0.0,,,ITALY:  BORGO VAL DI TARO,44.3,9.4,,,10.0,60.0,2.0,,,,,0.17,1.0,,,,,,,,,,,,,,,,
1653,,1834.0,3.0,1.0,13.0,,0.0,,,COLOMBIA:  PASTO,1.4,-77.1,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
1654,,1834.0,3.0,14.0,,,,685.0,,MEXICO:  ACAPULCO,16.8,-99.9,,7.0,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,
1655,,1834.0,4.0,11.0,,,,,,CHINA:  YUNNAN PROVINCE,24.9,103.0,,5.0,6.0,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,
1656,,1834.0,5.0,22.0,7.0,,0.0,,,"COLOMBIA:  SANTA MARTA,CARTAGENA",11.0,-74.2,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
1657,,1834.0,5.0,23.0,,,,,,"JORDAN:  AL-KARAK; ISRAEL:  JERUSALEM, NABULUS",31.3,35.6,,6.3,9.0,,3.0,,,,,,2.0,,,,3.0,,3.0,,,,,,2.0,,,,3.0
1658,,1834.0,5.0,,,,,,,GUAM:  AGANA,14.0,143.3,,,,,,,,,,,2.0,,3.0,,,,,,,,,,2.0,,3.0,,
1659,,1834.0,8.0,12.0,15.0,30.0,0.0,,,VENEZUELA:  MERIDA,8.8,-70.9,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
1660,,1834.0,10.0,10.0,,,,,,"INDONESIA:  JAVA:  BOGOR, CINAJUR",-6.7,107.0,,,9.0,,,,,,,,3.0,,,,3.0,,,,,,,,3.0,,,,3.0
1661,,1834.0,10.0,15.0,6.0,30.0,0.0,,,"HUNGARY:  PISHKOL'T, ERENDREYD, DENGELEG",47.6,22.3,32.0,6.8,8.0,,,,,,,,3.0,,,,,,,,,,,,,,,,
1662,,1834.0,,,,,,,,CHINA:  TIBET (XIZANG PROVINCE),28.6,87.1,,6.0,8.0,,3.0,,,,,,,,1.0,,,,3.0,,,,,,1.0,,1.0,,
1663,,1834.0,,,,,,,,CHINA:  QINGHAI PROVINCE,33.0,97.0,,5.5,7.0,88.0,2.0,,,,,,,,,,,88.0,2.0,,,,,,,,,,
1664,,1835.0,2.0,20.0,16.0,22.0,,689.0,,CHILE:  CONCEPCION,-36.83,-73.03,,8.2,11.0,50.0,1.0,30.0,1.0,500.0,3.0,,4.0,,3.0,,,53.0,2.0,30.0,1.0,500.0,3.0,,4.0,,3.0,,3.0
1665,,1835.0,4.0,18.0,17.0,25.0,0.0,,,SWITZERLAND,46.7,7.8,,,6.0,,,,,,,,3.0,,,,,,,,,,,,,,,,
1666,,1835.0,7.0,20.0,,,,691.0,,JAPAN:  SANRIKU,37.9,141.9,,7.6,,,,,,,,,1.0,,1.0,,,,3.0,,,,,,3.0,,3.0,,
1667,,1835.0,8.0,23.0,15.0,,0.0,,,TURKEY,38.5,35.5,,,10.0,300.0,3.0,,,,,,2.0,,,,,,,,,,,,,,,,
1668,,1835.0,10.0,12.0,23.0,,,,,"ITALY:  CASTIGLIONE,COSENZA,CRATI",39.3,16.3,,,11.0,100.0,2.0,,,,,,2.0,,,,,,,,,,,,,,,,
1669,,1835.0,11.0,1.0,,,,,5605.0,INDONESIA:  MALUKU:  AMBON,-3.7,128.2,,,9.0,,,,,60.0,2.0,,2.0,,2.0,,,,3.0,,,60.0,2.0,,2.0,,2.0,,
1670,,1836.0,3.0,5.0,,,,695.0,,FLORES SEA,-8.3,118.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1671,,1836.0,4.0,24.0,23.0,15.0,0.0,,,"ITALY:  ROSSANO,CROSIA,CRACO,BASILICATA",39.6,16.6,,,11.0,589.0,3.0,,,,,,3.0,,,,,,,,,,,,,,,,
1672,,1836.0,6.0,10.0,15.0,30.0,0.0,,,CALIFORNIA,38.0,-122.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
1673,,1836.0,7.0,3.0,,,,697.0,,CHILE:  COBIJA,-22.6,-70.3,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,
1674,,1836.0,11.0,20.0,7.0,,,,,ITALY:  BASILICATA,40.1,15.8,,,11.0,21.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,
1675,,1836.0,11.0,28.0,,,,701.0,,FLORES SEA,-8.3,118.7,,7.5,,,,,,,,,1.0,,2.0,,,,,,,,,,1.0,,2.0,,
1676,,1837.0,1.0,1.0,1.0,,,702.0,,ISRAEL: ZEFAT (SAFED); LEBANON:  BEIRUT (BEYROUT),33.0,35.5,,6.4,10.0,5000.0,4.0,,,,,,4.0,,4.0,,,5000.0,4.0,,,,,,4.0,,4.0,,
1677,,1837.0,4.0,11.0,17.0,,0.0,,,ITALY,44.2,10.5,,,9.0,5.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,
1678,,1837.0,8.0,2.0,,,0.0,704.0,,VIRGIN ISLANDS,18.2,-64.5,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
1679,,1837.0,8.0,9.0,21.0,30.0,,5494.0,,MEXICO: ACAPULCO,16.86,-99.88,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,
1680,,1837.0,9.0,10.0,18.0,,0.0,,,"VENEZUELA:  SANTA TERESA DEL TUY,SANTA LUCIA",10.3,-66.6,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,
1681,,1837.0,9.0,10.0,,,,,,CHINA:  GANSU PROVINCE,34.6,103.7,,6.0,8.0,37.0,1.0,,,,,,2.0,941.0,3.0,,,37.0,1.0,,,,,,2.0,941.0,3.0,,
1682,,1837.0,9.0,29.0,,,,706.0,4905.0,INDONESIA:  BANDA ATJEH,5.5,96.0,100.0,7.3,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,
1683,,1837.0,10.0,18.0,21.0,0.0,,5495.0,,"MEXICO: MEXICO CITY,  ACAPULCO",19.45,-99.15,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
1684,,1837.0,11.0,7.0,12.0,51.0,,708.0,,CHILE:  VALDIVIA,-42.5,-74.0,,8.5,10.0,,,,,,,,3.0,,3.0,,,16.0,1.0,,,,,,3.0,,3.0,,
1685,,1837.0,11.0,22.0,,,,,,MEXICO:  GUADALAJARA,20.0,-105.0,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,
1686,,1837.0,11.0,28.0,,,,,,INDONESIA:  SUMBAWA ISLAND:  BIMA,-8.5,118.5,,,9.0,,,,,,,,2.0,,,,,,,,,,,,1.0,,2.0,,
1687,,1838.0,1.0,23.0,18.0,36.0,,,,"ROMANIA:  CARPATHIAN FOLD,VRANCEA",45.7,26.6,150.0,6.9,8.0,,,,,,,,2.0,,,,,,,,,,,,,,,,
1688,,1838.0,5.0,7.0,,,,710.0,,CHILE:  CENTRAL,-36.7,-73.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689,,1838.0,6.0,,,,,,,"CALIFORNIA:  SAN FRANCISCO,SAN JOSE,SANTA CLARA",37.6,-122.4,,7.0,8.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
1690,,1838.0,,,,,0.0,,,"ISRAEL:  TEL AVIV-YAFO (JAFFA),PALESTINE",32.0,34.5,,,,3000.0,4.0,,,,,,3.0,,,,,,,,,,,,,,,,
1691,,1838.0,,,,,,,,MYANMAR (BURMA):  AVA (INNWA),21.8,96.0,,,,,,,,,,,3.0,,,,,,,,,,,,3.0,,,,
1692,,1839.0,1.0,11.0,9.0,55.0,0.0,,,"MARTINIQUE:  FORT-DE-FRANCE, ST PIERRE; CASTRIES",14.4,-61.1,33.0,7.8,9.0,390.0,3.0,,,,,,3.0,,,,,,,,,,,,,,,,
1693,,1839.0,2.0,7.0,,,,,,CHINA:  YUNNAN PROVINCE,26.1,99.9,,6.0,8.0,100.0,2.0,,,,,,2.0,600.0,3.0,,,100.0,2.0,,,,,,2.0,600.0,3.0,,
1694,,1839.0,2.0,23.0,,,,,,CHINA:  YUNNAN PROVINCE,26.1,99.9,,6.0,8.0,129.0,3.0,,,18.0,1.0,,2.0,1667.0,4.0,,,129.0,3.0,,,18.0,1.0,,2.0,1667.0,4.0,,
1695,,1839.0,3.0,22.0,,,,,,EL SALVADOR:  SAN SALVADOR,13.7,-89.2,,,,,3.0,,,,,,4.0,,4.0,,,,3.0,,,,,,4.0,,4.0,,
1696,,1839.0,3.0,23.0,,,,,,"MYANMAR (BURMA):  AVA, AMARAPURA",21.9,96.0,,,11.0,400.0,3.0,,,,,,3.0,,3.0,,,400.0,3.0,,,,,,3.0,,3.0,,
1697,,1839.0,3.0,,,,,2329.0,,HAWAII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1698,,1839.0,4.0,12.0,,,0.0,,,VENEZUELA:  CUMANA,10.5,-64.2,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,
1699,,1839.0,5.0,1.0,,,,713.0,,"SE. HOKKAIDO ISLAND, JAPAN",42.5,145.0,,7.3,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
1700,,1839.0,6.0,27.0,,,,,,TAIWAN: JIAYI,23.4,120.4,,6.5,8.0,117.0,3.0,,,534.0,3.0,,3.0,6600.0,4.0,,,117.0,3.0,,,534.0,3.0,,3.0,6600.0,4.0,,
1701,,1839.0,8.0,16.0,17.0,30.0,0.0,,,SWITZERLAND,45.9,6.1,,,7.0,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,
1702,,1840.0,1.0,4.0,,,,715.0,,INDONESIA:  JAVA:  PURWOREJO,-8.0,110.5,150.0,7.0,9.0,,,,,,,,3.0,,3.0,,,,,,,,,,3.0,,3.0,,
1703,,1840.0,1.0,28.0,8.0,,,722.0,,PERU:  LIMA,-12.3,-77.3,40.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
1704,,1840.0,2.0,14.0,,,,718.0,,INDONESIA:  MALUKU:  TERNATE ISLAND,0.8,127.325,,,,,,,,,,,2.0,500.0,3.0,,,,,,,,,,2.0,500.0,3.0,,
1705,,1840.0,3.0,22.0,,,,719.0,,"PHILIPPINES:  SORSOGON,MASBATE IS,CASIGURAN,ALBAY",12.9,123.9,,6.5,9.0,17.0,1.0,,,200.0,3.0,,3.0,,3.0,,,52.0,2.0,,,200.0,3.0,,3.0,,3.0,,
1706,,1840.0,7.0,2.0,16.0,,,,,"TURKEY:  MT ARARAT, AGURI, ARALIKH; IRAN:  MAKU",39.7,44.4,,6.7,9.0,1049.0,3.0,,,,,,4.0,,4.0,,,1049.0,4.0,,,,,,4.0,,4.0,,
1707,,1840.0,8.0,27.0,12.0,5.0,0.0,,,BALKANS NW:  SLOVENIA:  LJUBLJANA,46.2,14.7,8.0,4.9,7.0,,,,,,,,2.0,,,,,,,,,,,,,,,,
1708,,1840.0,10.0,30.0,,,,,,GREECE:  ZAKINTHOS (ZANTE),38.0,21.0,,,10.0,12.0,1.0,,,,,,3.0,,,,,,,,,,,,,,,,
1709,,1840.0,11.0,11.0,,,,2355.0,,PENNSYLVANIA:  PHILADELPHIA,39.8,-75.2,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,
1710,,1841.0,5.0,17.0,21.0,30.0,,723.0,,RUSSIA:  OFF KAMCHATKA,52.0,158.0,30.0,8.4,11.0,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,
1711,,1841.0,6.0,15.0,5.0,30.0,0.0,,,AZORES:  PRAIA DA VITORIA,38.4,-25.3,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
1712,,1841.0,9.0,2.0,12.0,15.0,0.0,,,COSTA RICA:  CARTAGO; NICARAGUA,10.0,-84.0,,,,,3.0,,,,,,2.0,,,,,,,,,,,,,,,,
1713,,1841.0,11.0,26.0,,,,724.0,,INDONESIA:  N. MOLUCCAS ISLANDS,-5.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714,,1841.0,12.0,16.0,,,,725.0,,INDONESIA:  BANDA SEA,-4.0,127.5,,6.0,8.0,,,,,,,,,,,,,,,,,,,,2.0,,3.0,,
1715,,1842.0,1.0,2.0,,,0.0,,,AZERBAIJAN:  APSCHERON PENINSULA,40.5,50.0,3.0,4.3,8.0,,,,,,,,2.0,,,,,,,,,,,,,,,,
1716,,1842.0,2.0,19.0,,,0.0,,,AFGHANISTAN:  JALALABAD,34.4,70.5,,,,500.0,3.0,,,,,,3.0,,,,,,,,,,,,,,,,
1717,,1842.0,4.0,18.0,8.0,30.0,,,,GREECE:  MAINA (LACONIA),36.5,22.3,100.0,,9.0,,2.0,,,,,,,,,,,,,,,,,,,,,,
1718,,1842.0,5.0,7.0,21.0,,,726.0,,HAITI:  CAP-HAITIEN,19.75,-72.2,,8.1,,5000.0,4.0,,,,,,4.0,,4.0,,,5300.0,4.0,,,,,,4.0,,4.0,,
1719,,1842.0,6.0,11.0,,,,,,CHINA: XINJIANG PROVINCE,43.6,93.0,,7.0,9.0,,2.0,,,,3.0,,3.0,5460.0,4.0,,,,2.0,,,,3.0,,3.0,5460.0,4.0,,
1720,,1842.0,11.0,1.0,,,,4313.0,,CANADA:  MONTREAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721,,1842.0,11.0,11.0,,,,727.0,,BANGLADESH:,24.0,89.25,,6.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
1722,,1842.0,12.0,8.0,,,,,,ETHIOPIA:  ANKOBER,9.6,39.8,,,9.0,,3.0,,,,,,3.0,,,,,,3.0,,,,,,3.0,,,,
1723,,1843.0,1.0,5.0,,,,728.0,,SW. SUMATRA,1.5,98.0,70.0,7.3,11.0,,3.0,,,,,,3.0,,3.0,,,,3.0,,,,,,3.0,,3.0,,
1724,,1843.0,2.0,1.0,,,0.0,,,IRAN:  AZARBAIJAN:  KHVOY (KHOY),38.3,44.6,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
1725,,1843.0,2.0,7.0,,,,729.0,,INDONESIA:  JAVA:  GENTENG ISLAND,-7.2,114.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
1726,,1843.0,2.0,8.0,14.0,50.0,0.0,730.0,,GUADELOUPE:  POINTE-A-PITRE,16.5,-62.2,33.0,8.3,9.0,5000.0,4.0,,,,,,4.0,,,,,5000.0,4.0,,,,,,4.0,,,,
1727,,1843.0,4.0,1.0,,,0.0,,,INDIA:  DECCAN,19.0,77.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
1728,,1843.0,4.0,18.0,,,0.0,,,IRAN:  KHVOY (KHOY),38.6,44.9,,,7.0,1000.0,3.0,,,,,,3.0,,,,,,,,,,,,,,,,
1729,,1843.0,4.0,25.0,,,,732.0,,"JAPAN:  HOKKAIDO: YEZO, KUSHIRO, NEMURO",42.0,146.0,,8.4,,,,,,,,,1.0,,,,,45.0,1.0,,,,,,2.0,75.0,2.0,,
1730,,1843.0,7.0,8.0,5.0,5.0,,733.0,,NEW ZEALAND:  WANGANUI,-39.9,175.0,33.0,7.5,,,,,,,,,,,,,,,,,,,,,,,,,
1731,,1843.0,10.0,18.0,,,0.0,734.0,,GREECE:  CHALKI (DODECANESE),36.3,27.5,,,9.0,,2.0,,,,,,,,,,,,,,,,,,,,,,
1732,,1843.0,12.0,17.0,22.0,15.0,0.0,,,CHILE,-29.9,-71.3,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
1733,,1844.0,4.0,16.0,13.0,20.0,0.0,,,PUERTO RICO:  SAN JUAN; ST THOMAS,18.3,-66.8,,,8.0,,,,,,,,2.0,,,,,,,,,,,,,,,,
1734,,1844.0,5.0,12.0,,,,,,"IRAN:  KASHAN, QAMSAR, KAMU, KUSHIAN, CHUKA",33.6,51.4,,6.4,,1500.0,4.0,,,,,,3.0,,3.0,,,1500.0,4.0,,,,,,3.0,,3.0,,
1735,,1844.0,5.0,12.0,,,,,,"TURKEY:  OSMANCIK, ANKARA",40.98,34.8,,,9.0,200.0,3.0,,,,,,3.0,,3.0,,,200.0,3.0,,,,,,3.0,,3.0,,
1736,,1844.0,5.0,13.0,,,,,,"IRAN:  MIYANEH, GARMRUD, ESFAHAN",37.4,48.0,,6.9,,,4.0,,,,,,4.0,,4.0,,,,4.0,,,,,,4.0,,4.0,,
1737,,1844.0,5.0,,,,,5667.0,,"NICARAGUA: RIVAS, GREYTOWN",11.2,-84.8,,7.4,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,2.0,,2.0,,2.0
1738,,1844.0,8.0,30.0,7.0,10.0,0.0,,,SAINT VINCENT:  KINGSTOWN,13.1,-61.1,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
1739,,1844.0,8.0,,,,0.0,,,NICARAGUA:  SAN JUAN DEL NORTE(GREYTOWN),11.0,-84.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
1740,,1844.0,10.0,19.0,1.0,30.0,0.0,,,"ARGENTINA:  SALTA, JUJUY, TUCUMAN",-25.0,-66.0,,,8.0,,,,,,,,3.0,,,,,,,,,,,,,,,,
1741,,1845.0,2.0,8.0,7.0,30.0,,741.0,489.0,"INDONESIA:  N SULAWESI:  MENADO, TIKALA, TOMOHON",1.48,124.85,,7.0,9.0,118.0,3.0,,,,,,2.0,,3.0,,,118.0,3.0,,,,,,2.0,,3.0,,
1742,,1845.0,2.0,12.0,,,,,,ETHIOPIA,12.3,39.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
1743,,1845.0,2.0,19.0,,,,,3833.0,COLOMBIA:  MAGDALENA RIVER,4.5,-75.4,,4.0,,,,,,,,,,,,,,1000.0,3.0,,,,,,,,,,
1744,,1845.0,2.0,,,,,,,TAIWAN:  ZHANGHUA,24.1,120.5,,6.0,8.0,380.0,3.0,,,,3.0,,3.0,4000.0,4.0,,,380.0,3.0,,,,3.0,,3.0,4000.0,4.0,,
1745,,1845.0,3.0,9.0,,,0.0,,,MEXICO:  OAXACA,17.0,-96.3,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
1746,,1845.0,4.0,7.0,,,,742.0,,MEXICO:  MEXICO CITY,17.0,-100.6,,8.0,,,,,,,,,2.0,,,,2.0,,,,,,,,2.0,,,,2.0
1747,,1845.0,6.0,4.0,2.0,15.0,0.0,,,CHILE,-18.5,-70.4,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
1748,,1845.0,6.0,19.0,,,,743.0,,INDIA:  RANN OF KUTCH,23.583000000000002,68.367,,6.3,8.0,,1.0,,,,,,1.0,,1.0,,,,1.0,,,,,,2.0,,2.0,,
1749,,1845.0,7.0,5.0,,,,744.0,,N. NEW ZEALAND,-39.93,175.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,,1845.0,10.0,11.0,,,0.0,,,TURKEY,39.1,26.2,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
1751,,1845.0,12.0,21.0,20.0,40.0,0.0,,,BALKANS NW:  SLOVENIA:  LJUBLJANA,46.1,14.5,7.0,4.9,7.0,,,,,,,,2.0,,,,,,,,,,,,,,,,
1752,,1846.0,1.0,25.0,0.0,0.0,,749.0,,INDONESIA:  N. MOLUCCAS ISLANDS,2.0,126.5,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,
1753,,1846.0,3.0,13.0,11.0,0.0,,,,CHILE:  COIAPO,-27.35,-70.35,,,8.0,,,,,,,,2.0,,3.0,,,,,,,,,,2.0,,3.0,,
1754,,1846.0,3.0,,,,,750.0,,"SANRIKU, JAPAN",39.5,142.5,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,
1755,,1846.0,6.0,10.0,18.0,,,,,GREECE:  MESSINI-MICROMANI (MESSINIA),37.0,22.0,,,10.0,30.0,2.0,,,,,0.8,1.0,,,,,,,,,,,,,,,,
1756,,1846.0,6.0,28.0,1.0,15.0,,,,PERU,-14.0,-76.8,50.0,7.9,6.0,,,,,,,,,,,,,,,,,,,,,,,,
1757,,1846.0,8.0,7.0,,,,,,ITALY:  SIRACUSA (SYRACUSE),37.0,15.3,,,11.0,,,,,,,,2.0,,,,,,,,,,,,,,,,
1758,,1846.0,8.0,14.0,12.0,35.0,,3313.0,,"ITALY:  ORCIANO, LUCIANA",43.4,10.6,5.0,6.1,10.0,56.0,2.0,,,,,,3.0,,,,,56.0,2.0,,,,,,3.0,,,,
1759,,1846.0,12.0,10.0,,,0.0,,,INDIA,26.0,93.0,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,
1760,,1847.0,3.0,8.0,15.0,0.0,,,,CHILE,-32.45,-71.27,,,10.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,
1761,,1847.0,5.0,8.0,,,,,,"JAPAN:  ZENKOJI, NAGANO",37.0,138.0,,7.4,,12000.0,4.0,,,,,,4.0,34000.0,4.0,,,12000.0,4.0,,,,,,4.0,34000.0,4.0,,
1762,,1847.0,5.0,23.0,,,,751.0,,PERU:  CALLAO,-12.1,-77.1,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
1763,,1847.0,6.0,21.0,,,0.0,,,RUSSIA:  KURIL ISLANDS,46.0,152.0,40.0,7.5,,,,,,,,,,,,,,,,,,,,,,,,,
